emoji,description,version,keywords,category,group,subgroup,parent,components
🏃🏻,"person running: light skin tone",1.0,fast|hurry|light skin tone|marathon|move|person|quick|race|racing|run|rush|speed,person-people,people-body,person-activity,🏃,🏻
🏃🏼,"person running: medium-light skin tone",1.0,fast|hurry|marathon|medium-light skin tone|move|person|quick|race|racing|run|rush|speed,person-people,people-body,person-activity,🏃,🏼
🏃🏽,"person running: medium skin tone",1.0,fast|hurry|marathon|medium skin tone|move|person|quick|race|racing|run|rush|speed,person-people,people-body,person-activity,🏃,🏽
🏃🏾,"person running: medium-dark skin tone",1.0,fast|hurry|marathon|medium-dark skin tone|move|person|quick|race|racing|run|rush|speed,person-people,people-body,person-activity,🏃,🏾
🏃🏿,"person running: dark skin tone",1.0,dark skin tone|fast|hurry|marathon|move|person|quick|race|racing|run|rush|speed,person-people,people-body,person-activity,🏃,🏿
🏃‍♂️,"man running",4.0,fast|hurry|man|marathon|move|quick|race|racing|run|rush|speed,person-people,people-body,person-activity,,
🏃🏻‍♂️,"man running: light skin tone",4.0,fast|hurry|light skin tone|man|marathon|move|quick|race|racing|run|rush|speed,person-people,people-body,person-activity,🏃‍♂️,🏻
🏃🏼‍♂️,"man running: medium-light skin tone",4.0,fast|hurry|man|marathon|medium-light skin tone|move|quick|race|racing|run|rush|speed,person-people,people-body,person-activity,🏃‍♂️,🏼
🏃🏽‍♂️,"man running: medium skin tone",4.0,fast|hurry|man|marathon|medium skin tone|move|quick|race|racing|run|rush|speed,person-people,people-body,person-activity,🏃‍♂️,🏽
🏃🏾‍♂️,"man running: medium-dark skin tone",4.0,fast|hurry|man|marathon|medium-dark skin tone|move|quick|race|racing|run|rush|speed,person-people,people-body,person-activity,🏃‍♂️,🏾
🏃🏿‍♂️,"man running: dark skin tone",4.0,dark skin tone|fast|hurry|man|marathon|move|quick|race|racing|run|rush|speed,person-people,people-body,person-activity,🏃‍♂️,🏿
🏃‍♀️,"woman running",4.0,fast|hurry|marathon|move|quick|race|racing|run|rush|speed|woman,person-people,people-body,person-activity,,
🏃🏻‍♀️,"woman running: light skin tone",4.0,fast|hurry|light skin tone|marathon|move|quick|race|racing|run|rush|speed|woman,person-people,people-body,person-activity,🏃‍♀️,🏻
🏃🏼‍♀️,"woman running: medium-light skin tone",4.0,fast|hurry|marathon|medium-light skin tone|move|quick|race|racing|run|rush|speed|woman,person-people,people-body,person-activity,🏃‍♀️,🏼
🏃🏽‍♀️,"woman running: medium skin tone",4.0,fast|hurry|marathon|medium skin tone|move|quick|race|racing|run|rush|speed|woman,person-people,people-body,person-activity,🏃‍♀️,🏽
🏃🏾‍♀️,"woman running: medium-dark skin tone",4.0,fast|hurry|marathon|medium-dark skin tone|move|quick|race|racing|run|rush|speed|woman,person-people,people-body,person-activity,🏃‍♀️,🏾
🏃🏿‍♀️,"woman running: dark skin tone",4.0,dark skin tone|fast|hurry|marathon|move|quick|race|racing|run|rush|speed|woman,person-people,people-body,person-activity,🏃‍♀️,🏿
🏃‍➡️,"person running: facing right",15.1,facing|fast|hurry|marathon|move|person|quick|race|racing|right|run|rush|speed,person-people,people-body,person-activity,,
🏃🏻‍➡️,"person running: light skin tone, facing right",15.1,facing|fast|hurry|light skin tone|marathon|move|person|quick|race|racing|right|run|rush|speed,person-people,people-body,person-activity,🏃‍➡️,🏻
🏃🏼‍➡️,"person running: medium-light skin tone, facing right",15.1,facing|fast|hurry|marathon|medium-light skin tone|move|person|quick|race|racing|right|run|rush|speed,person-people,people-body,person-activity,🏃‍➡️,🏼
🏃🏽‍➡️,"person running: medium skin tone, facing right",15.1,facing|fast|hurry|marathon|medium skin tone|move|person|quick|race|racing|right|run|rush|speed,person-people,people-body,person-activity,🏃‍➡️,🏽
🏃🏾‍➡️,"person running: medium-dark skin tone, facing right",15.1,facing|fast|hurry|marathon|medium-dark skin tone|move|person|quick|race|racing|right|run|rush|speed,person-people,people-body,person-activity,🏃‍➡️,🏾
🏃🏿‍➡️,"person running: dark skin tone, facing right",15.1,dark skin tone|facing|fast|hurry|marathon|move|person|quick|race|racing|right|run|rush|speed,person-people,people-body,person-activity,🏃‍➡️,🏿
🏃‍♀️‍➡️,"woman running: facing right",15.1,facing|fast|hurry|marathon|move|quick|race|racing|right|run|rush|speed|woman,person-people,people-body,person-activity,,
🏃🏻‍♀️‍➡️,"woman running: light skin tone, facing right",15.1,facing|fast|hurry|light skin tone|marathon|move|quick|race|racing|right|run|rush|speed|woman,person-people,people-body,person-activity,🏃‍♀️‍➡️,🏻
🏃🏼‍♀️‍➡️,"woman running: medium-light skin tone, facing right",15.1,facing|fast|hurry|marathon|medium-light skin tone|move|quick|race|racing|right|run|rush|speed|woman,person-people,people-body,person-activity,🏃‍♀️‍➡️,🏼
🏃🏽‍♀️‍➡️,"woman running: medium skin tone, facing right",15.1,facing|fast|hurry|marathon|medium skin tone|move|quick|race|racing|right|run|rush|speed|woman,person-people,people-body,person-activity,🏃‍♀️‍➡️,🏽
🏃🏾‍♀️‍➡️,"woman running: medium-dark skin tone, facing right",15.1,facing|fast|hurry|marathon|medium-dark skin tone|move|quick|race|racing|right|run|rush|speed|woman,person-people,people-body,person-activity,🏃‍♀️‍➡️,🏾
🏃🏿‍♀️‍➡️,"woman running: dark skin tone, facing right",15.1,dark skin tone|facing|fast|hurry|marathon|move|quick|race|racing|right|run|rush|speed|woman,person-people,people-body,person-activity,🏃‍♀️‍➡️,🏿
🏃‍♂️‍➡️,"man running: facing right",15.1,facing|fast|hurry|man|marathon|move|quick|race|racing|right|run|rush|speed,person-people,people-body,person-activity,,
🏃🏻‍♂️‍➡️,"man running: light skin tone, facing right",15.1,facing|fast|hurry|light skin tone|man|marathon|move|quick|race|racing|right|run|rush|speed,person-people,people-body,person-activity,🏃‍♂️‍➡️,🏻
🏃🏼‍♂️‍➡️,"man running: medium-light skin tone, facing right",15.1,facing|fast|hurry|man|marathon|medium-light skin tone|move|quick|race|racing|right|run|rush|speed,person-people,people-body,person-activity,🏃‍♂️‍➡️,🏼
🏃🏽‍♂️‍➡️,"man running: medium skin tone, facing right",15.1,facing|fast|hurry|man|marathon|medium skin tone|move|quick|race|racing|right|run|rush|speed,person-people,people-body,person-activity,🏃‍♂️‍➡️,🏽
🏃🏾‍♂️‍➡️,"man running: medium-dark skin tone, facing right",15.1,facing|fast|hurry|man|marathon|medium-dark skin tone|move|quick|race|racing|right|run|rush|speed,person-people,people-body,person-activity,🏃‍♂️‍➡️,🏾
🏃🏿‍♂️‍➡️,"man running: dark skin tone, facing right",15.1,dark skin tone|facing|fast|hurry|man|marathon|move|quick|race|racing|right|run|rush|speed,person-people,people-body,person-activity,🏃‍♂️‍➡️,🏿
🧑‍🩰,"ballet dancer",17.0,ballet|dancer,person-people,people-body,person-activity,,
🧑🏻‍🩰,"ballet dancer: light skin tone",17.0,ballet|dancer|light skin tone,person-people,people-body,person-activity,🧑‍🩰,🏻
🧑🏼‍🩰,"ballet dancer: medium-light skin tone",17.0,ballet|dancer|medium-light skin tone,person-people,people-body,person-activity,🧑‍🩰,🏼
🧑🏽‍🩰,"ballet dancer: medium skin tone",17.0,ballet|dancer|medium skin tone,person-people,people-body,person-activity,🧑‍🩰,🏽
🧑🏾‍🩰,"ballet dancer: medium-dark skin tone",17.0,ballet|dancer|medium-dark skin tone,person-people,people-body,person-activity,🧑‍🩰,🏾
🧑🏿‍🩰,"ballet dancer: dark skin tone",17.0,ballet|dancer|dark skin tone,person-people,people-body,person-activity,🧑‍🩰,🏿
💃,"woman dancing",0.6,dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let’s|salsa|tango|woman,person-people,people-body,person-activity,,
💃🏻,"woman dancing: light skin tone",1.0,dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let’s|light skin tone|salsa|tango|woman,person-people,people-body,person-activity,💃,🏻
💃🏼,"woman dancing: medium-light skin tone",1.0,dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let’s|medium-light skin tone|salsa|tango|woman,person-people,people-body,person-activity,💃,🏼
💃🏽,"woman dancing: medium skin tone",1.0,dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let’s|medium skin tone|salsa|tango|woman,person-people,people-body,person-activity,💃,🏽
💃🏾,"woman dancing: medium-dark skin tone",1.0,dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let’s|medium-dark skin tone|salsa|tango|woman,person-people,people-body,person-activity,💃,🏾
💃🏿,"woman dancing: dark skin tone",1.0,dance|dancer|dancing|dark skin tone|elegant|festive|flair|flamenco|groove|let’s|salsa|tango|woman,person-people,people-body,person-activity,💃,🏿
🕺,"man dancing",3.0,dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let’s|man|salsa|tango,person-people,people-body,person-activity,,
🕺🏻,"man dancing: light skin tone",3.0,dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let’s|light skin tone|man|salsa|tango,person-people,people-body,person-activity,🕺,🏻
🕺🏼,"man dancing: medium-light skin tone",3.0,dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let’s|man|medium-light skin tone|salsa|tango,person-people,people-body,person-activity,🕺,🏼
🕺🏽,"man dancing: medium skin tone",3.0,dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let’s|man|medium skin tone|salsa|tango,person-people,people-body,person-activity,🕺,🏽
🕺🏾,"man dancing: medium-dark skin tone",3.0,dance|dancer|dancing|elegant|festive|flair|flamenco|groove|let’s|man|medium-dark skin tone|salsa|tango,person-people,people-body,person-activity,🕺,🏾
🕺🏿,"man dancing: dark skin tone",3.0,dance|dancer|dancing|dark skin tone|elegant|festive|flair|flamenco|groove|let’s|man|salsa|tango,person-people,people-body,person-activity,🕺,🏿
🕴️,"person in suit levitating",0.7,business|levitating|person|suit,person-people,people-body,person-activity,,
